1672093797.271233 client started (28128): version 3.2a, socket /private/tmp/tmux-501/default, protocol 8
1672093797.271331 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:04:44 PST 2022; root:xnu-8792.61.2~4/RELEASE_ARM64_T8103
1672093797.272174 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1672093797.276975 sending message 105 to peer 0x150048000 (66 bytes)
1672093797.276982 sending message 105 to peer 0x150048000 (27 bytes)
1672093797.276998 sending message 105 to peer 0x150048000 (15 bytes)
1672093797.277006 sending message 105 to peer 0x150048000 (22 bytes)
1672093797.277013 sending message 105 to peer 0x150048000 (14 bytes)
1672093797.277021 sending message 105 to peer 0x150048000 (17 bytes)
1672093797.277029 sending message 105 to peer 0x150048000 (34 bytes)
1672093797.277038 sending message 105 to peer 0x150048000 (15 bytes)
1672093797.277046 sending message 105 to peer 0x150048000 (43 bytes)
1672093797.277053 sending message 105 to peer 0x150048000 (28 bytes)
1672093797.277060 sending message 105 to peer 0x150048000 (23 bytes)
1672093797.277068 sending message 105 to peer 0x150048000 (377 bytes)
1672093797.277076 sending message 105 to peer 0x150048000 (19 bytes)
1672093797.277084 sending message 105 to peer 0x150048000 (20 bytes)
1672093797.277091 sending message 105 to peer 0x150048000 (22 bytes)
1672093797.277100 sending message 105 to peer 0x150048000 (21 bytes)
1672093797.277108 sending message 105 to peer 0x150048000 (26 bytes)
1672093797.277116 sending message 105 to peer 0x150048000 (57 bytes)
1672093797.277125 sending message 105 to peer 0x150048000 (19 bytes)
1672093797.277133 sending message 105 to peer 0x150048000 (19 bytes)
1672093797.277162 sending message 105 to peer 0x150048000 (22 bytes)
1672093797.277170 sending message 105 to peer 0x150048000 (61 bytes)
1672093797.277178 sending message 105 to peer 0x150048000 (32 bytes)
1672093797.277186 sending message 105 to peer 0x150048000 (8 bytes)
1672093797.277203 sending message 105 to peer 0x150048000 (28 bytes)
1672093797.277210 sending message 105 to peer 0x150048000 (12 bytes)
1672093797.277218 sending message 105 to peer 0x150048000 (12 bytes)
1672093797.277226 sending message 105 to peer 0x150048000 (51 bytes)
1672093797.277233 sending message 105 to peer 0x150048000 (43 bytes)
1672093797.277242 sending message 105 to peer 0x150048000 (46 bytes)
